mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
1.3080119609832763,0.0725106972815691,0.263410758972168,0.0119316691933953,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",13.045481911459708,1.6726370362589458,40,SVM,Full Dataset
10.915378904342653,1.717628211271947,0.2057423114776611,0.0155159133364621,"{'C': 100, 'gamma': 'auto', 'kernel': 'poly'}",13.067838634524737,2.0890290017777806,41,SVM,Full Dataset
1.290149736404419,0.0578717044250357,0.2599886894226074,0.0072793347883251,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",13.135012604502656,1.7023976137905368,42,SVM,Full Dataset
0.9867084503173827,0.038541089029674,0.2009981155395507,0.0083438576136548,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",13.531391484713618,1.4917549756076445,43,SVM,Full Dataset
0.930598783493042,0.0658609183094463,0.1691578865051269,0.0070723384812706,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",13.557308963497285,1.368957171234113,46,Random Forest,Subset Dataset
0.9396634578704834,0.0508120051008263,0.1705110549926757,0.0112386878391251,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'poly'}",13.559838617125388,1.374091362812831,47,Random Forest,Subset Dataset
13.68349323272705,1.5216093669957662,0.2365628719329834,0.040084608739335,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}",13.596134900405684,2.468778202332009,44,SVM,Full Dataset
1.0229021072387696,0.0331474109788859,0.2000111103057861,0.0061565015263698,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'poly'}",13.699523409268958,1.5524460247743432,45,SVM,Full Dataset
1.066626739501953,0.1320020132747293,0.1833982944488525,0.0082349976327872,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'poly'}",14.420090524857857,1.763235621895821,48,Random Forest,Subset Dataset
0.9500781536102296,0.0647619316241695,0.1721694469451904,0.0117043346358109,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'poly'}",14.423099535856034,1.7716582733798982,49,Random Forest,Subset Dataset
1.175691270828247,0.0762268305076843,0.5622848987579345,0.0302012094691651,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",14.558532462516798,1.876274953699497,50,Random Forest,Subset Dataset
1.159190797805786,0.0724969372667354,0.56619873046875,0.034581000706116,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",14.558724505045888,1.8779879346612296,51,Random Forest,Subset Dataset
1.2139811515808103,0.0228420968517806,1.265135669708252,1.3027861326019523,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",14.789938662260514,1.9005966977009527,46,SVM,Full Dataset
1.3108193397521972,0.0365768517053568,1.2873725414276125,1.2778807366627274,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",14.825859187413531,1.9105752935020557,47,SVM,Full Dataset
1.0135877132415771,0.0225273943605621,0.198141860961914,0.0040241750173465,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'poly'}",15.0922903185563,1.8081968848661656,48,SVM,Full Dataset
1.5070253372192384,0.1211289601435826,0.263754653930664,0.0235316648017909,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'sigmoid'}",15.178432256060644,1.898598917021116,52,Random Forest,Subset Dataset
1.388661003112793,0.0912839056049075,0.2495995044708251,0.0171421901963577,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'sigmoid'}",15.178530129890872,1.8995125489669609,53,Random Forest,Subset Dataset
