PLAYER	2020/21 	2020/21(*)
249.	Patrick Patterson	$3,814,771	$4,020,441
250.	Stanley Johnson	$3,804,150	$4,009,248
251.	Jake Layman	$3,761,085	$3,963,862
252.	Jerome Robinson	$3,737,520	$3,939,026
253.	Danuel House	$3,717,000	$3,917,400
254.	Kira Lewis	$3,640,200	$3,836,459
255.	Romeo Langford	$3,631,200	$3,826,974
256.	Moe Harkless	$3,623,000	$3,818,332
256.	Bobby Portis	$3,623,000	$3,818,332
256.	Wesley Matthews	$3,623,000	$3,818,332
259.	Wayne Ellington	$3,564,753	$3,756,944
260.	Kyle Kuzma	$3,562,178	$3,754,231
261.	Michael Porter	$3,550,800	$3,742,239
262.	Tony Bradley	$3,542,060	$3,733,028
263.	Derrick White	$3,516,284	$3,705,862
264.	Luca Vildoza	$3,500,000	$3,688,700
264.	TJ McConnell	$3,500,000	$3,688,700
264.	Boban Marjanovic	$3,500,000	$3,688,700
264.	Bismack Biyombo	$3,500,000	$3,688,700
268.	Josh Hart	$3,491,159	$3,679,383
269.	Aaron Nesmith	$3,458,400	$3,644,857
270.	Sekou Doumbouya	$3,449,400	$3,635,372
271.	Dewayne Dedmon	$3,447,478	$3,633,346
272.	Troy Brown	$3,372,840	$3,554,685
273.	Jeff Teague	$3,372,826	$3,554,669
274.	James Ennis	$3,300,000	$3,477,917
274.	Michael Carter-Williams	$3,300,000	$3,477,917
276.	Cole Anthony	$3,285,120	$3,462,235
277.	Taj Gibson	$3,283,684	$3,460,722
278.	Facundo Campazzo	$3,200,000	$3,372,526
279.	Jon Leuer	$3,169,348	$3,340,221
280.	Chuma Okeke	$3,121,080	$3,289,351
280.	Isaiah Stewart	$3,121,080	$3,289,351
282.	Nickeil Alexander-Walker	$3,113,160	$3,281,004
283.	DeMarcus Cousins	$3,051,832	$3,216,369
284.	Donte DiVincenzo	$3,044,160	$3,208,284
285.	Khem Birch	$3,011,499	$3,173,861
286.	Trey Burke	$3,000,000	$3,161,743
286.	Ryan Arcidiacono	$3,000,000	$3,161,743
288.	Aleksej Pokusevski	$2,964,840	$3,124,687
289.	Goga Bitadze	$2,957,520	$3,116,973
290.	Lonnie Walker	$2,895,720	$3,051,841
291.	Ben McLemore	$2,893,630	$3,049,637
292.	Andrew Nicholson	$2,844,429	$2,997,785
293.	Luka Samanic	$2,824,320	$2,976,591
294.	Josh Green	$2,816,760	$2,968,624
295.	Kevin Huerter	$2,761,920	$2,910,827
296.	Marko Guduric	$2,750,000	$2,898,264
296.	Alex Caruso	$2,750,000	$2,898,264
298.	Matisse Thybulle	$2,711,280	$2,857,457
299.	Saddiq Bey	$2,689,920	$2,834,945
300.	Josh Okogie	$2,651,040	$2,793,969
301.	Vincent Poirier	$2,619,207	$2,760,420
302.	Brandon Clarke	$2,602,920	$2,743,255
303.	Precious Achiuwa	$2,582,160	$2,721,375
304.	Carmelo Anthony	$2,564,753	$2,703,030
304.	Dwight Howard	$2,564,753	$2,703,030
304.	Udonis Haslem	$2,564,753	$2,703,030
304.	Jared Dudley	$2,564,753	$2,703,030
304.	Marc Gasol	$2,564,753	$2,703,030
304.	Jose Juan Barea	$2,564,753	$2,703,030
304.	Jeff Green	$2,564,753	$2,703,030
311.	Grayson Allen	$2,545,320	$2,682,549
312.	Grant Williams	$2,498,760	$2,633,479
313.	Tyrese Maxey	$2,478,840	$2,612,485
314.	Chandler Hutchison	$2,443,440	$2,575,176
315.	Mfiondu Kabengele	$2,432,353	$2,563,492
316.	Darius Bazley	$2,399,160	$2,528,509
317.	Moritz Wagner	$2,383,915	$2,512,441
318.	Zeke Nnaji	$2,379,840	$2,508,147
319.	Aaron Holiday	$2,345,640	$2,472,104
320.	Bryn Forbes	$2,337,145	$2,463,151
321.	E'Twaun Moore	$2,331,593	$2,457,299
321.	Markieff Morris	$2,331,593	$2,457,299
321.	Reggie Jackson	$2,331,593	$2,457,299
324.	Hassan Whiteside	$2,320,044	$2,445,128
324.	Kent Bazemore	$2,320,044	$2,445,128
326.	Ty Jerome	$2,303,040	$2,427,207
327.	Mike Muscala	$2,283,034	$2,406,122
328.	Anfernee Simons	$2,252,040	$2,373,457
329.	Brad Wanamaker	$2,250,000	$2,371,307
329.	Luke Kornet	$2,250,000	$2,371,307
331.	Monta Ellis	$2,245,400	$2,366,459
332.	Nassir Little	$2,210,640	$2,329,825
333.	RJ Hampton	$2,193,480	$2,311,740
334.	Matthew Dellavedova	$2,174,318	$2,291,545
334.	Solomon Hill	$2,174,318	$2,291,545
336.	Edmond Sumner	$2,160,000	$2,276,455
337.	Anderson Varejao	$2,141,713	$2,257,182
338.	Dylan Windler	$2,137,440	$2,252,679
339.	Immanuel Quickley	$2,105,520	$2,219,038
340.	John Konchar	$2,100,000	$2,213,220
341.	Landry Shamet	$2,090,040	$2,202,723
342.	Jordan Poole	$2,063,280	$2,174,520
343.	Bol Bol	$2,058,240	$2,169,209
344.	Keldon Johnson	$2,048,040	$2,158,459
345.	Payton Pritchard	$2,035,800	$2,145,559
346.	Robert Williams	$2,029,920	$2,139,362
347.	Langston Galloway	$2,028,594	$2,137,964
347.	Bruno Caboclo	$2,028,594	$2,137,964
347.	Tyler Johnson	$2,028,594	$2,137,964
350.	Gary Clark	$2,018,458	$2,127,282
351.	Jacob Evans	$2,017,320	$2,126,082
352.	Spencer Hawes	$2,007,058	$2,115,267
353.	Dzanan Musa	$2,002,800	$2,110,779
354.	Theo Maledon	$2,000,000	$2,107,829
354.	Kenrich Williams	$2,000,000	$2,107,829
354.	Damyean Dotson	$2,000,000	$2,107,829
357.	Omari Spellman	$1,988,280	$2,095,477
358.	Quinn Cook	$1,981,649	$2,088,487
359.	Cameron Payne	$1,977,011	$2,083,600
359.	Mario Hezonja	$1,977,011	$2,083,600
361.	Udoka Azubuike	$1,977,000	$2,083,588
362.	Jaden McDaniels	$1,964,760	$2,070,689
363.	Malachi Flynn	$1,950,600	$2,055,765
364.	Desmond Bane	$1,936,440	$2,040,842
365.	Jontay Porter	$1,900,000	$2,002,437
366.	Raul Neto	$1,882,867	$1,984,380
366.	JaKarr Sampson	$1,882,867	$1,984,380
366.	Jahlil Okafor	$1,882,867	$1,984,380
369.	Larry Sanders	$1,865,546	$1,966,126
370.	Marquese Chriss	$1,824,003	$1,922,343
370.	David Nwaba	$1,824,003	$1,922,343
370.	Timothe Luwawu	$1,824,003	$1,922,343
373.	Georges Niang	$1,783,557	$1,879,716
374.	Rodions Kurucs	$1,780,152	$1,876,128
375.	Furkan Korkmaz	$1,762,796	$1,857,836
375.	Alfonzo McKinnie	$1,762,796	$1,857,836
375.	Damion Lee	$1,762,796	$1,857,836
375.	PJ Dozier	$1,762,796	$1,857,836
379.	Abdel Nader	$1,752,950	$1,847,459
379.	Semi Ojeleye	$1,752,950	$1,847,459
381.	DeAndre Bembry	$1,737,145	$1,830,802
381.	Frank Kaminsky	$1,737,145	$1,830,802
381.	Willy Hernangomez	$1,737,145	$1,830,802
381.	Thon Maker	$1,737,145	$1,830,802
385.	Monte Morris	$1,723,707	$1,816,639
386.	Kevin Porter	$1,717,981	$1,810,605
387.	Shake Milton	$1,701,593	$1,793,333
387.	Thanasis Antetokounmpo	$1,701,593	$1,793,333
387.	Brandon Goodwin	$1,701,593	$1,793,333
390.	Ignas Brazdeikis	$1,686,315	$1,777,231
391.	Torrey Craig	$1,678,854	$1,769,368
391.	Dwayne Bacon	$1,678,854	$1,769,368
391.	Wesley Iwundu	$1,678,854	$1,769,368
391.	Sterling Brown	$1,678,854	$1,769,368
395.	Isaac Bonga	$1,663,861	$1,753,567
395.	Gary Trent Jr	$1,663,861	$1,753,567
395.	Sviatoslav Mykhailiuk	$1,663,861	$1,753,567
395.	Mitchell Robinson	$1,663,861	$1,753,567
395.	Jarred Vanderbilt	$1,663,861	$1,753,567
395.	Kendrick Nunn	$1,663,861	$1,753,567
395.	Duncan Robinson	$1,663,861	$1,753,567
395.	Hamidou Diallo	$1,663,861	$1,753,567
395.	Jalen Brunson	$1,663,861	$1,753,567
395.	Devonte Graham	$1,663,861	$1,753,567
395.	Bruce Brown	$1,663,861	$1,753,567
406.	Drew Eubanks	$1,620,564	$1,707,935
406.	Harry Giles	$1,620,564	$1,707,935
406.	Josh Gray	$1,620,564	$1,707,935
406.	Wenyen Gabriel	$1,620,564	$1,707,935
406.	Isaiah Hartenstein	$1,620,564	$1,707,935
411.	Daniel Gafford	$1,517,981	$1,599,822
411.	Matt Thomas	$1,517,981	$1,599,822
411.	Juwan Morgan	$1,517,981	$1,599,822
411.	Miye Oni	$1,517,981	$1,599,822
411.	Chris Silva	$1,517,981	$1,599,822
411.	Terence Davis	$1,517,981	$1,599,822
411.	Justin James	$1,517,981	$1,599,822
411.	Admiral Schofield	$1,517,981	$1,599,822
411.	Isaiah Roby	$1,517,981	$1,599,822
411.	Luguentz Dort	$1,517,981	$1,599,822
411.	Jaylen Nowell	$1,517,981	$1,599,822
411.	Naz Reid	$1,517,981	$1,599,822
411.	KZ Okpala	$1,517,981	$1,599,822
411.	Talen Horton-Tucker	$1,517,981	$1,599,822
411.	Terance Mann	$1,517,981	$1,599,822
411.	Jalen Lecque	$1,517,981	$1,599,822
411.	Chris Clemons	$1,517,981	$1,599,822
411.	Mychal Mulder	$1,517,981	$1,599,822
411.	Alen Smailagic	$1,517,981	$1,599,822
411.	Eric Paschall	$1,517,981	$1,599,822
411.	Vlatko Cancar	$1,517,981	$1,599,822
411.	Dean Wade	$1,517,981	$1,599,822
411.	Javonte Green	$1,517,981	$1,599,822
411.	Jalen McDaniels	$1,517,981	$1,599,822
411.	Caleb Martin	$1,517,981	$1,599,822
411.	Cody Martin	$1,517,981	$1,599,822
411.	Nicolas Claxton	$1,517,981	$1,599,822
411.	Carsen Edwards	$1,517,981	$1,599,822
411.	Bruno Fernando	$1,517,981	$1,599,822
440.	Robert Woodard	$1,500,000	$1,580,871
441.	Damian Jones	$1,487,284	$1,567,469
442.	JR Smith	$1,456,667	$1,535,202
