Player,Year,Salary
Naz Reid,2021,1782621
Isaiah Roby,2021,1782621
Daniel Gafford,2021,1782621
Nicolas Claxton,2021,1782621
Cody Martin,2021,1782621
Dean Wade,2021,1782621
Vlatko Cancar,2021,1782621
Bruno Fernando,2021,1782621
Carsen Edwards,2021,1782621
Luguentz Dort,2021,1782621
KZ Okpala,2021,1782621
Eric Paschall,2021,1782621
Chimezie Metu,2021,1762796
Yuta Watanabe,2021,1762796
Thanasis Antetokounmpo,2021,1729217
Keita Bates-Diop,2021,1729217
Sviatoslav Mykhailiuk,2021,1729217
Isaiah Hartenstein,2021,1729217
Moritz Wagner,2021,1729217
Isaac Bonga,2021,1729217
Moses Brown,2021,1701593
Juan Toscano-Anderson,2021,1701593
Oshae Brissett,2021,1701593
Herb Jones,2021,1700000
Gabriel Deck,2021,1690507
Javonte Green,2021,1669178
Max Strus,2021,1669178
Gabe Vincent,2021,1669178
Matt Thomas,2021,1669178
Gary Payton II,2021,1669178
Robert Woodard,2021,1619015
Lance Stephenson,2021,1614825
Deividas Sirvydis,2021,1603559
Daniel Oturu,2021,1603559
Armoni Brooks,2021,1574643
Kevin Pangos,2021,1569178
Bismack Biyombo,2021,1518213
Nick Richards,2021,1517981
Lamar Stevens,2021,1517981
KJ Martin,2021,1517981
Xavier Tillman,2021,1517981
Naji Marshall,2021,1517981
Isaiah Joe,2021,1517981
Paul Reed,2021,1517981
Tre Jones,2021,1517981
Vernon Carey,2021,1517981
Jae'Sean Tate,2021,1517981
Sam Merrill,2021,1517981
Jordan Nwora,2021,1517981
CJ Elleby,2021,1517981
Elijah Hughes,2021,1517981
Jahmi'us Ramsey,2021,1517981
Anthony Gill,2021,1517981
Isaiah Todd,2021,1500000
Saben Lee,2021,1489065
Omer Yurtseven,2021,1489065
JR Smith,2021,1456667
Stanley Johnson,2021,1368998
Aaron Wiggins,2021,1305761
Marquese Chriss,2021,1292900
JT Thor,2021,1250000
DeMarre Carroll,2021,1242340
Jabari Parker,2021,1168286
Alfonzo McKinnie,2021,1090007
Zhaire Smith,2021,1068200
Jason Preston,2021,1062303
Isaiah Livers,2021,1057260
Guerschon Yabusele,2021,1039080
Denzel Valentine,2021,1005633
Kyle Singler,2021,999200
Kelan Martin,2021,993760
Miye Oni,2021,946261
Ayo Dosunmu,2021,925258
Marko Simonovic,2021,925258
BJ Boston,2021,925258
Austin Reaves,2021,925258
Miles McBride,2021,925258
Vit Krejci,2021,925258
Charles Bassey,2021,925258
Greg Brown,2021,925258
Jock Landale,2021,925258
Jared Butler,2021,925258
Luka Garza,2021,925258
Dalano Banton,2021,925258
Daishen Nix,2021,923078
Alize Johnson,2021,904360
Mamadi Diakite,2021,869078
Caleb Martin,2021,844011
Brad Wanamaker,2021,814918
Luke Kornet,2021,812364
Wayne Selden,2021,812363
Gary Clark,2021,811213
Ryan Arcidiacono,2021,774727
Trendon Watford,2021,768830
Patrick Patterson,2021,737067
Devontae Cacok,2021,726128
Admiral Schofield,2021,723741
Ishmail Wainright,2021,707311
Shaun Livingston,2021,666666
Sam Hauser,2021,619498
Joe Wieskamp,2021,563663
Keifer Sykes,2021,558345
Haywood Highsmith,2021,547701
Nik Stauskas,2021,534993
Davon Reed,2021,532398
Wenyen Gabriel,2021,506530
Chris Silva,2021,479650
Sharife Cooper,2021,462629
Skylar Mays,2021,462629
Brodric Thomas,2021,462629
David Duke,2021,462629
Kessler Edwards,2021,462629
Arnoldas Kulboka,2021,462629
Scottie Lewis,2021,462629
Tyler Cook,2021,462629
RJ Nembhard,2021,462629
Markus Howard,2021,462629
Jamorko Pickett,2021,462629
Sean Chris Smith,2021,462629
Chris Chiozza,2021,462629
Duane Washington Jr,2021,462629
Amir Coffey,2021,462629
Jay Scrubb,2021,462629
Yves Pons,2021,462629
Georgios Kalaitzakis,2021,462629
Sandro Mamukelashvili,2021,462629
Nathan Knight,2021,462629
McKinley Wright,2021,462629
Jose Alvarado,2021,462629
Jericho Sims,2021,462629
Ignas Brazdeikis,2021,462629
Keljin Blevins,2021,462629
Neemias Queta,2021,462629
Justin Champagnie,2021,462629
David Johnson,2021,462629
Trent Forrest,2021,462629
Joel Ayayi,2021,462629
Cassius Winston,2021,462629
Isaiah Thomas,2021,455463
Theo Pinson,2021,440710
Charlie Brown,2021,431151
Kyle Guy,2021,425198
Greg Monroe,2021,414057
Malik Fitts,2021,399812
James Ennis,2021,386127
Langston Galloway,2021,386127
Tim Frazier,2021,386127
Sam Dekker,2021,350000
Quinndary Weatherspoon,2021,346491
Brandon Goodwin,2021,343988
Terry Taylor,2021,342984
Malcolm Hill,2021,324373
Louis King,2021,316396
Justin Jackson,2021,308493
Shaquille Harrison,2021,308493
DJ Wilson,2021,308493
Trevelin Queen,2021,303102
Paul Watson,2021,303102
Myles Powell,2021,300443
Jontay Porter,2021,300000
Mason Jones,2021,295125
Eugene Omoruyi,2021,281831
Justin Robinson,2021,265953
Ja'Vonte Smart,2021,265878
Tyler Johnson,2021,257418
Cassius Stanley,2021,256734
Zylan Cheatham,2021,256734
Jeff Dowtin,2021,252585
Devon Dotson,2021,239291
Olivier Sarr,2021,236633
Marcus Garrett,2021,236632
Lindell Wigginton,2021,233973
Jay Huff,2021,225997
Aaron Henry,2021,223338
Justin Anderson,2021,222914
