Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2019,Steven Adams,Okc,C,27.07,63,26.7,55.6,17.3,201,0.582,475,0.594,3,0.333,0.5913169456066946,0.604,10.9,9.3,19.2,2.3,13.2,0.81,1.06,9.2,122.0,101.9,14.4,25842697.0,109140000,0.2368,0,1,0,0,26617930.553032804,90.68733608874417,119.29292606811595
2018,Nikola Jokic,Den,C,24.14,80,31.3,65.2,27.4,352,0.821,936,0.569,270,0.307,0.47597761194029853,0.589,20.1,10.8,18.7,7.3,37.1,1.35,0.69,14.9,119.2,99.0,15.4,25467250.0,101869000,0.25,0,1,0,0,28103500.0,90.4593592641785,120.53864910216649
2014,Jason Richardson,Phi,SG,34.0,19,21.9,45.7,21.7,22,0.773,82,0.378,96,0.323,0.2612359550561798,0.458,9.1,3.5,8.6,2.0,16.6,0.68,0.16,7.3,,,7.9,6601125.0,63065000,0.1047,0,0,0,1,11766572.040751604,71.57754024877521,101.98574973405574
2018,Drew Eubanks,San,F,22.19,23,4.9,10.3,15.4,13,0.846,26,0.577,0,0.0,0.577,0.646,1.8,1.5,16.3,0.3,8.3,0.09,0.22,7.6,114.9,101.4,20.1,77250.0,101869000,0.0008,0,0,1,0,85246.55685242811,31.80730147244916,38.15721093781661
2021,Jeff Dowtin,Gol,G,24.87,5,4.95,10.35,12.6,0,0.0,5,0.3,2,0.0,0.25,0.25,0.75,0.9,6.85,0.4,7.4,0.0,0.125,3.75,109.0,103.1,7.15,305761.0,112414000,0.0027,0,0,0,1,305761.0,41.230955850454016,49.6398710925525
2020,Cameron Johnson,Pho,F,25.2,60,24.0,49.9,17.0,59,0.847,148,0.581,335,0.349,0.2990590062111801,0.563,9.6,3.3,7.9,1.4,8.0,0.62,0.27,5.9,111.9,109.6,7.3,4235160.0,109140000,0.0388,0,0,1,0,4362207.039032436,66.21456666825682,84.14779438192382
2016,Pascal Siakam,Tor,PF,22.0,55,15.6,32.5,13.1,32,0.688,198,0.515,7,0.143,0.4998560975609756,0.523,4.2,3.4,12.2,0.3,2.9,0.47,0.82,4.2,,,13.100000000000001,1196040.0,94143000,0.0127,0,0,1,0,1428163.9692807752,52.878106126568525,67.59070128032093
2020,Payton Pritchard,Bos,G,23.3,66,19.2,40.0,16.7,45,0.889,170,0.482,248,0.411,0.3179521531100478,0.582,7.7,2.4,6.9,1.8,13.3,0.56,0.14,6.7,116.3,109.1,10.8,2035800.0,109140000,0.0187,0,0,0,1,2096870.2693787797,58.15944017393222,72.90835256939236
2021,Deni Avdija,Was,F,21.22,71,23.4,48.8,15.3,123,0.764,256,0.52,199,0.307,0.35970659340659344,0.533,7.6,5.1,11.9,1.8,10.5,0.76,0.54,7.0,107.6,105.3,10.9,4692840.0,112414000,0.0417,0,0,1,0,4692840.0,67.42072974050039,85.3536008110987
2013,Quincy Pondexter,Mem,SG,25.0,15,17.8,35.9,18.2,26,0.808,45,0.444,34,0.324,0.3226329113924051,0.52,6.3,1.7,5.8,1.4,11.7,0.33,0.07,5.5,,,14.2,2225478.0,58679000,0.0379,0,0,0,1,4263448.318683004,59.08905598195022,83.77315244803209
