RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Mia,F,21.66,61,12.1,25.2,19.5,13.5,110,0.509,227,0.546,1,0,0.544,0.55,5,3.4,16.1,0.5,6.1,0.33,0.46,0.7,6.7,106.8,99.7
,Jaylen Adams,Mil,G,25.03,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.125,0.3,0.4,8.7,0.3,12.6,0,0,0,5.1,,
,Steven Adams,Nor,C,27.83,58,27.7,57.6,11.7,17.7,135,0.444,305,0.62,3,0,0.614,0.596,7.6,8.9,17.4,1.9,9.1,0.93,0.66,1.36,7.3,119.7,107.8
,Bam Adebayo,Mia,C-F,23.83,64,33.5,69.7,23.7,15,354,0.799,792,0.573,8,0.25,0.571,0.626,18.7,9,15.3,5.4,26.9,1.17,1.03,2.64,11.6,121.7,105
,LaMarcus Aldridge,San,C-F,35.83,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.3,110
,LaMarcus Aldridge,Bro,C-F,35.83,5,26,54.3,19.9,11.8,10,1,43,0.488,5,0.8,0.563,0.611,12.8,4.8,10.2,2.6,14.3,0.6,2.2,1.4,8.3,116.4,107.4
,Ty-Shon Alexander,Pho,G,22.84,15,3.2,6.6,14.9,18.9,2,0.5,3,0.333,9,0.222,0.333,0.349,0.6,0.7,11.9,0.4,15.2,0,0.07,0.2,6.9,,
,Nickeil Alexander-Walker,Nor,G,22.7,46,21.9,45.6,23.2,12.4,66,0.727,239,0.485,219,0.347,0.502,0.522,11,3.1,7.8,2.2,14.7,1.02,0.48,1.5,7.7,100.5,106.5
,Grayson Allen,Mem,G,25.61,50,25.2,52.5,16.8,9.6,91,0.868,140,0.471,274,0.391,0.547,0.586,10.6,3.2,6.7,2.2,11.5,0.92,0.16,0.96,6.7,115.3,109.9
,Jarrett Allen,Bro,C,23.07,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.6,1.7,8.3,0.58,1.58,1.83,8.8,134.4,106.6
,Jarrett Allen,Cle,C,23.07,51,30.3,63.1,16.8,13.1,229,0.69,398,0.623,19,0.316,0.616,0.649,13.2,9.9,18.3,1.7,8.8,0.47,1.41,1.53,8,124.4,111.2
,Al-Farouq Aminu,Orl,F,30.65,17,21.6,44.9,14.3,20.6,17,0.824,58,0.5,31,0.226,0.444,0.482,5.5,5.4,12.9,1.7,11.4,1,0.53,1.47,6.8,93,108.5
,Al-Farouq Aminu,Chi,F,30.65,6,11.2,23.4,9.8,19.7,5,0.8,4,0.25,6,0.167,0.25,0.369,1.5,3.2,15.6,0.3,3.5,0.33,0,0.5,4,77,101.9
,Kyle Anderson,Mem,F-G,27.66,69,27.4,57,18.5,10.4,184,0.783,397,0.539,261,0.36,0.54,0.578,12.4,5.7,11.1,3.6,18.3,1.22,0.83,1.25,9.3,117.2,106.7
,Giannis Antetokounmpo,Mil,F,26.44,61,33,68.7,32.5,13.2,581,0.685,879,0.636,221,0.303,0.6,0.633,28.1,11,17.5,5.9,28.7,1.18,1.21,3.39,14.8,121.1,102.2
,Kostas Antetokounmpo,Lal,F,23.49,15,3.7,7.8,20.8,41.2,13,0.462,10,0.3,0,0,0.3,0.382,0.8,1.3,19.1,0.1,2.3,0.13,0.27,0.73,5.1,,
,Thanasis Antetokounmpo,Mil,F,28.83,57,9.7,20.1,15.3,21.3,49,0.51,108,0.556,29,0.241,0.515,0.523,2.9,2.2,11.8,0.8,10.3,0.39,0.18,0.75,7.1,103.3,100.5
,Carmelo Anthony,Por,F,36.97,69,24.5,51,23.1,6.7,156,0.891,452,0.429,325,0.409,0.506,0.548,13.4,3.1,6.8,1.5,9.2,0.67,0.55,0.88,6.5,111.4,111.1
,Cole Anthony,Orl,G,21,47,27.1,56.4,24.3,14.8,131,0.832,380,0.424,172,0.337,0.449,0.496,12.9,4.7,9,4.1,24.2,0.64,0.38,2.26,9.3,98.4,109.4
,OG Anunoby,Tor,F,23.83,43,33.3,69.4,19.2,11.8,102,0.784,257,0.564,261,0.398,0.581,0.606,15.9,5.5,9.1,2.2,10.1,1.53,0.72,1.74,6.9,113.2,108.2
,Ryan Arcidiacono,Chi,G,27.14,44,10.2,21.3,13.1,7.4,20,0.65,50,0.48,67,0.373,0.526,0.541,3.1,1.5,8.2,1.3,16.3,0.2,0,0.23,7.1,117.6,105.3
,Trevor Ariza,Mia,F,35.88,30,28,58.4,15.1,7.5,44,0.773,98,0.5,143,0.35,0.515,0.542,9.4,4.8,9.8,1.8,9.4,1,0.6,0.7,6.2,111,107.1
,D.J. Augustin,Mil,G,33.52,37,19.3,40.1,14.3,14,40,0.9,63,0.349,129,0.38,0.497,0.542,6.1,1.4,3.7,3,18.6,0.54,0.03,0.92,6.1,114.8,112.5
,D.J. Augustin,Hou,G,33.52,20,20.8,43.4,21,15.1,54,0.907,63,0.476,88,0.386,0.536,0.604,10.6,2.2,5.6,3.9,28.3,0.4,0,1.55,8.6,118.2,115.2
,Deni Avdija,Was,F,20.37,54,23.3,48.5,12,9,45,0.644,144,0.535,168,0.315,0.502,0.515,6.3,4.8,11,1.2,6.3,0.59,0.28,0.61,5.7,102.6,103.8
,Deandre Ayton,Pho,C,22.82,69,30.6,63.8,18.2,11.8,173,0.769,667,0.639,20,0.2,0.629,0.653,14.4,10.5,19.5,1.4,6.8,0.59,1.17,1.48,7.8,127.1,102.8
,Udoka Azubuike,Uta,C-F,21.66,15,3.8,7.9,12.4,18.3,10,0.8,9,0.444,0,0,0.444,0.597,1.1,0.9,12.1,0,0,0.07,0.27,0.2,0,,
,Dwayne Bacon,Orl,G-F,25.71,72,25.7,53.6,19.8,5.3,176,0.824,519,0.449,207,0.285,0.443,0.49,10.9,3.1,6.3,1.3,7.9,0.61,0.07,0.63,5.5,101.7,112.8
,Marvin Bagley III,Sac,F,22.18,43,25.9,53.9,23.5,9.7,134,0.575,382,0.55,108,0.343,0.542,0.554,14.1,7.4,15.9,1,5.8,0.49,0.49,1.37,7.3,108.9,110.5
,LaMelo Ball,Cha,G,19.74,51,28.8,60,26.1,16.3,165,0.758,411,0.489,261,0.352,0.504,0.539,15.7,5.9,11.1,6.1,33.9,1.59,0.35,2.84,11.5,107.3,104.2
,Lonzo Ball,Nor,G,23.55,55,31.8,66.2,20.5,14.5,64,0.781,245,0.482,455,0.378,0.537,0.551,14.6,4.8,8.2,5.7,25.4,1.49,0.56,2.24,9.3,109.8,109.5
,Mo Bamba,Orl,C,23.01,46,15.8,32.8,21.9,10.1,66,0.682,183,0.568,118,0.322,0.535,0.556,8,5.8,19,0.8,8.1,0.3,1.26,0.8,8.4,110.3,101.7
,Desmond Bane,Mem,G,22.89,68,22.3,46.5,16.1,10.2,49,0.816,228,0.513,271,0.432,0.586,0.6,9.2,3.1,7.3,1.7,10.6,0.62,0.24,0.87,6.5,114.7,107.5
,Harrison Barnes,Sac,F,28.96,58,36.3,75.5,17.2,11.1,235,0.83,386,0.567,256,0.391,0.575,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,1.6,7.9,122.3,117.4
,RJ Barrett,Nyk,F-G,20.92,72,34.9,72.7,23.4,10.5,276,0.746,750,0.457,309,0.401,0.5,0.535,17.6,5.8,8.9,3,13.8,0.74,0.28,1.93,7.7,106.2,104.7
,Will Barton,Den,G,30.36,56,31,64.6,19,12.7,121,0.785,351,0.459,257,0.381,0.507,0.538,12.7,4,7.4,3.2,14.1,0.89,0.41,1.71,7,106.8,111.4
,Keita Bates-Diop,San,F,25.31,30,8.2,17,14.8,8.4,21,0.667,50,0.5,17,0.294,0.485,0.518,2.6,1.6,10.7,0.4,6.6,0.37,0.17,0.23,5.8,105.6,109.9
,Nicolas Batum,Lac,G-F,32.42,67,27.4,57.1,11.8,10.8,58,0.828,141,0.574,271,0.406,0.597,0.617,8.1,4.7,9.7,2.2,10.5,1.03,0.55,0.79,6.4,124.1,107.9
,Aron Baynes,Tor,C-F,34.44,53,18.5,38.5,16.2,12.5,41,0.707,200,0.535,103,0.262,0.487,0.505,6.1,5.2,15.3,0.9,7,0.3,0.43,0.87,6.6,103.8,103.3
,Kent Bazemore,Gol,G-F,31.88,67,19.9,41.5,16.3,16.1,78,0.692,208,0.486,184,0.408,0.545,0.564,7.2,3.4,9.1,1.6,11.1,1.03,0.49,1.22,6.8,101.3,100.5
,Darius Bazley,Okc,F-G,20.93,55,31.2,64.9,22,13.7,178,0.702,404,0.47,286,0.29,0.456,0.491,13.7,7.2,12,1.8,8.9,0.53,0.45,2.22,7.2,92.4,112.9
,Bradley Beal,Was,G,27.89,60,35.8,74.5,34.1,10.6,459,0.889,1009,0.535,373,0.349,0.532,0.593,31.3,4.7,7,4.4,21.3,1.15,0.37,3.12,9.7,113.3,110.5
,Malik Beasley,Min,G,24.47,37,32.8,68.4,24,8.6,80,0.85,279,0.487,321,0.399,0.547,0.57,19.6,4.4,7.2,2.4,11.6,0.81,0.19,1.62,7.2,108.8,115
,Jordan Bell,Was,F,26.36,5,13.4,28,14.2,13,0,0,18,0.389,2,0,0.35,0.35,2.8,3.8,15,1,9.4,0.6,0.6,0.6,6.6,85.6,106.3
,Jordan Bell,Gol,F,26.36,1,14.7,30.6,11.3,25.8,2,0.5,2,0,0,0,0,0.174,1,5,18.1,2,15.8,0,2,1,5.9,69.9,97.8
,DeAndre' Bembry,Tor,G-F,26.87,51,19.1,39.7,14.6,21.6,66,0.682,175,0.589,53,0.264,0.544,0.57,5.7,2.9,8.3,2.1,15.5,1.04,0.35,1.39,6.8,104.1,106.8
,Davis Bertans,Was,F,28.51,57,25.7,53.5,15.9,5.9,115,0.87,50,0.48,428,0.395,0.581,0.62,11.5,3,6.1,0.9,4.4,0.58,0.23,0.58,4.9,119.8,108.1
,Patrick Beverley,Lac,G,32.84,37,22.5,46.9,14.6,12.4,45,0.8,79,0.468,141,0.397,0.55,0.58,7.5,3.2,8,2.1,12,0.76,0.76,0.92,6.6,117.2,100.7
,Saddiq Bey,Det,F,22.1,70,27.3,56.8,18.7,7.3,147,0.844,232,0.448,460,0.38,0.53,0.566,12.2,4.6,9.3,1.4,7.6,0.74,0.2,0.86,6.3,111.5,110
,Tyler Bey,Dal,F,23.26,18,3.9,8.2,16.9,11,5,0.6,18,0.333,4,0.25,0.341,0.372,1,1,14,0.2,5.6,0,0.06,0.17,6,,
,Khem Birch,Orl,C,28.63,48,19.8,41.3,12.2,8.5,85,0.741,188,0.479,21,0.19,0.459,0.517,5.3,5.1,13.2,1.1,8,0.67,0.58,0.48,6.3,119.5,109.8
,Khem Birch,Tor,C,28.63,19,30.4,63.3,15.8,9.9,44,0.636,140,0.614,31,0.29,0.582,0.596,11.9,7.5,13.6,1.9,9.4,0.89,1.16,1.11,7.3,122.4,108.5
,Goga Bitadze,Ind,C-F,21.83,45,12.5,26,18,7.1,61,0.738,115,0.548,79,0.253,0.479,0.523,5.1,3.3,14.5,0.8,8.9,0.2,1.33,0.38,7.6,115.3,99.4
,Bismack Biyombo,Cha,C,28.72,66,20.4,42.6,11.5,19.8,105,0.448,241,0.589,1,0,0.587,0.574,5,5.3,13.9,1.2,8.3,0.26,1.12,1.08,6.2,111.5,105.6
,Nemanja Bjelica,Sac,F,33.02,26,16.9,35.2,19.3,14.3,42,0.762,92,0.565,58,0.293,0.517,0.555,7.2,3.8,12.6,1.9,15.3,0.31,0.08,1.08,8.8,109.8,109
,Nemanja Bjelica,Mia,F,33.02,11,14.2,29.6,15.9,9.1,9,0.556,19,0.526,27,0.37,0.543,0.55,5,2.5,9.9,1.8,18.7,0.64,0.27,0.45,8,116,99.2
,Eric Bledsoe,Nor,G,31.44,71,29.7,62,18.5,12.1,195,0.687,376,0.495,355,0.341,0.503,0.532,12.2,3.4,6.3,3.8,17.3,0.77,0.34,1.58,7.3,107.8,112.2
,Keljin Blevins,Por,G,25.48,17,4.4,9.2,14.4,20,0,0,12,0.25,8,0.25,0.3,0.3,0.7,0.6,7.1,0.2,6.7,0.12,0,0.29,4,66.2,109.2
,Bojan Bogdanovic,Uta,F,32.08,72,30.8,64.1,22.8,10.9,265,0.879,464,0.487,461,0.39,0.536,0.588,17,3.9,6.7,1.9,9.1,0.63,0.06,1.78,6.5,113.1,107.4
,Bogdan Bogdanovic,Atl,G,28.74,44,29.7,61.8,21.3,8.5,44,0.909,232,0.522,333,0.438,0.602,0.616,16.4,3.6,6.7,3.3,17.6,1.11,0.3,1.23,7.8,121.1,108.3
,Bol Bol,Den,C-F,21.5,32,5,10.4,21.2,16.8,15,0.667,34,0.471,24,0.375,0.509,0.534,2.2,0.8,8.5,0.2,6,0.09,0.31,0.41,5.6,91.6,107
,Marques Bolden,Cle,C,23.08,6,4.8,9.9,13,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1,11.7,0,0,0.33,0.33,0.33,0,100.2,116.4
,Jordan Bone,Orl,G,23.53,14,14,29.2,12.6,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.4,1.3,13.6,0.14,0,0.21,5.9,112.6,113.7
,Isaac Bonga,Was,G,21.52,40,10.8,22.5,10.2,20.7,8,0.625,34,0.5,47,0.277,0.451,0.461,2,1.7,8.1,0.6,6.5,0.28,0.23,0.55,4.7,89.4,102.2
,Devin Booker,Pho,G,24.54,67,33.9,70.6,32.7,12.4,392,0.867,916,0.543,371,0.34,0.533,0.587,25.6,4.2,7,4.3,20.6,0.79,0.24,3.09,9.1,110.1,107.6
,Chris Boucher,Tor,F-C,28.35,60,24.2,50.4,20.6,6.7,193,0.788,325,0.609,235,0.383,0.595,0.634,13.6,6.7,15.3,1.1,7,0.58,1.85,0.77,7.7,127.2,103.3
,Brian Bowen II,Ind,F-G,22.62,5,2.8,5.9,13.4,0,1,1,3,0.333,1,0,0.25,0.338,0.6,0.6,11.5,0,0,0,0,0,0,,
,Avery Bradley,Mia,G,30.47,10,21.1,43.9,16.9,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.9,1.4,10,0.7,0.1,0.9,5.3,110.3,102.4
,Avery Bradley,Hou,G,30.47,17,23,47.9,13.8,15,6,0.833,42,0.381,63,0.27,0.395,0.409,5.2,2.3,5.3,1.9,11.2,0.82,0.18,1.12,4.9,83.7,112.1
,Tony Bradley,Phi,C-F,23.35,20,14.4,29.9,12.8,7,11,0.636,74,0.689,1,0,0.68,0.683,5.5,5.2,19.9,0.9,8.7,0.3,0.65,0.3,8.2,143.8,99.8
,Tony Bradley,Okc,C-F,23.35,22,18,37.5,18,16,44,0.705,120,0.667,2,0,0.656,0.676,8.7,6.1,17.7,0.9,8.4,0.41,0.77,1.23,8.1,122.2,106.7
,Jarrell Brantley,Uta,F,24.94,28,4.9,10.3,19,13.1,2,1,24,0.542,28,0.429,0.596,0.605,2.3,1,10.4,0.5,16.1,0.25,0.07,0.29,8.6,119.8,97.3
,Ignas Brazdeikis,Nyk,F,22.35,4,1.8,3.7,18.1,34.7,2,1,1,0,0,0,0,0.532,0.5,0.5,15.3,0.3,17.3,0,0,0.25,9.4,,
,Ignas Brazdeikis,Phi,F,22.35,1,7.9,16.5,16.3,0,0,0,2,0,1,0,0,0,0,2,13.9,0,0,0,0,0,0,0,110.9
,Ignas Brazdeikis,Orl,F,22.35,8,29.2,60.9,17.6,11.5,12,0.667,52,0.462,27,0.407,0.513,0.528,11.1,5.1,9.1,2,10.6,0.5,0.38,1.38,6.6,103.3,108.3
,Miles Bridges,Cha,F,23.16,66,29.3,61,17.3,13.6,113,0.867,332,0.593,290,0.4,0.596,0.625,12.7,6,11.1,2.2,11.4,0.67,0.79,1.61,7.5,115.5,108.2
,Mikal Bridges,Pho,F,24.71,72,32.6,67.9,14.9,7.4,131,0.84,353,0.649,315,0.425,0.644,0.668,13.5,4.3,7.4,2.1,8.8,1.06,0.88,0.81,6.1,131,110.7
,Amida Brimah,Ind,C,27.26,5,5.9,12.2,19.4,30,3,1,8,0.625,0,0,0.625,0.697,2.6,1.6,14.8,0.2,4.7,0,1,0.8,6.4,101,102.1
,Oshae Brissett,Ind,F-G,22.91,21,24.7,51.5,15.6,5.3,65,0.769,73,0.548,78,0.423,0.593,0.638,10.9,5.5,12,0.9,4.6,0.9,0.95,0.48,6.1,129.2,109.6
,Malcolm Brogdon,Ind,G,28.43,56,34.5,71.8,25.9,9.8,177,0.864,606,0.493,374,0.388,0.527,0.561,21.2,5.3,8.3,5.9,25.7,0.88,0.27,2.05,10.1,113,112.1
,Armoni Brooks,Hou,G,22.95,20,26,54.2,17.9,10,12,0.583,35,0.514,157,0.382,0.563,0.565,11.2,3.4,7,1.5,8.6,0.6,0.25,1.1,5.9,105.1,113.1
,Dillon Brooks,Mem,G-F,25.32,67,29.8,62.1,26.1,9.6,195,0.815,659,0.461,372,0.344,0.481,0.515,17.2,2.9,5.2,2.3,11.7,1.16,0.39,1.78,6.5,101.2,104
,Charlie Brown Jr.,Okc,G,23.29,9,16.9,35.1,14.9,11.2,10,0.9,22,0.364,21,0.238,0.36,0.422,4.4,1.9,5.8,1,8.2,0.44,0.22,0.67,4.8,88.4,105.5
,Troy Brown Jr.,Was,G-F,21.8,21,13.7,28.5,16.1,14.3,15,0.667,43,0.442,46,0.304,0.449,0.471,4.3,2.9,11.3,0.9,8.5,0.14,0.19,0.76,6.5,92.5,106.1
,Troy Brown Jr.,Chi,G-F,21.8,13,18.2,37.9,11.5,8,6,0.833,31,0.677,24,0.333,0.6,0.616,5.5,3.4,10.3,0.8,5.6,0.54,0.15,0.38,5.4,122.1,106.6
,Bruce Brown,Bro,G-F,24.75,65,22.3,46.5,15.9,10.2,117,0.735,364,0.599,59,0.288,0.576,0.604,8.8,5.4,13.3,1.6,9.8,0.86,0.43,0.83,7.6,123.9,105
,Jaylen Brown,Bos,G-F,24.56,58,34.5,71.8,29.7,11.5,250,0.764,701,0.535,410,0.398,0.558,0.586,24.7,6,9.7,3.4,16.5,1.24,0.55,2.72,9.2,111.6,107.3
,Moses Brown,Okc,C,21.59,43,21.4,44.6,17,11.7,126,0.619,269,0.543,0,0,0.543,0.57,8.6,8.9,21.7,0.2,1.7,0.72,1.12,1,4.6,116.6,103.5
,Sterling Brown,Hou,G-F,26.26,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.585,0.598,8.2,4.4,9.7,1.4,8.4,0.75,0.24,0.8,6.1,114.1,110.1
,Jalen Brunson,Dal,G,24.71,68,25,52,20.2,10.3,151,0.795,427,0.578,200,0.405,0.588,0.618,12.6,3.4,7.5,3.5,21.3,0.51,0.01,1.18,8.5,123,110.7
,Elijah Bryant,Mil,G,20,1,31.6,65.8,24.3,21.8,3,1,8,0.625,5,0.2,0.5,0.559,16,6,10,3,12.8,0,1,4,8.4,98.9,103.8
,Thomas Bryant,Was,C-F,23.8,10,27.1,56.4,17.2,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.2,0.4,0.8,1.1,7.5,131.1,104.9
,Reggie Bullock,Nyk,G-F,30.17,65,30,62.5,14.4,7.1,55,0.909,163,0.521,398,0.41,0.587,0.606,10.9,3.4,6.2,1.5,7.4,0.8,0.17,0.69,5.1,118.4,105.2
,Trey Burke,Dal,G,28.51,62,14.7,30.6,19.9,8,57,0.895,189,0.492,164,0.354,0.51,0.544,6.6,0.9,3.3,1.3,12.9,0.6,0.1,0.53,5.4,110,110.7
,Alec Burks,Nyk,G,29.83,49,25.6,53.3,21.4,8.2,118,0.856,254,0.425,246,0.415,0.522,0.564,12.7,4.6,9.8,2.2,13.2,0.63,0.29,1,7.9,113.5,102.9
,Jimmy Butler,Mia,F,31.67,52,33.6,69.9,26.6,10.6,416,0.863,634,0.538,102,0.245,0.514,0.607,21.5,6.9,11.8,7.1,35.1,2.08,0.35,2.1,12.1,127,107.8
,Bruno Caboclo,Hou,F,25.65,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.5,0.2,4.6,0,0.33,0.67,7.1,83.1,98.6
,Devontae Cacok,Lal,F,24.6,20,4.9,10.2,16.9,10.6,11,0.455,29,0.586,0,0,0.586,0.576,2,1.6,17.8,0.1,1.5,0.25,0.2,0.2,5.6,112.8,98.8
,Kentavious Caldwell-Pope,Lal,G,28.24,67,28.4,59.1,14.2,10.9,112,0.866,211,0.464,293,0.41,0.552,0.59,9.7,2.7,5.3,1.9,9.2,0.93,0.39,1.01,5.2,113.9,105.5
,Facundo Campazzo,Den,G,30.15,65,21.9,45.7,13.1,17.1,91,0.879,99,0.444,216,0.352,0.502,0.558,6.1,2.1,5.3,3.6,20.2,1.22,0.22,1.12,6.5,116.1,105.9
,Vlatko Cancar,Den,F,24.1,41,6.9,14.3,14.4,15.1,13,0.769,40,0.6,33,0.273,0.514,0.54,2.1,1.2,10.3,0.3,6.4,0.27,0.05,0.34,5.3,103.5,108.8
,Devin Cannady,Orl,G,24.99,8,9.3,19.3,19.2,6,7,0.857,12,0.417,16,0.375,0.5,0.547,4.3,0.6,3.5,0.1,2.1,0.63,0.13,0.25,2.7,105.2,103.8
,Clint Capela,Atl,C,27,63,30.1,62.8,19.9,8.4,227,0.573,696,0.595,0,0,0.595,0.602,15.2,14.3,26,0.8,4.1,0.7,2.05,1.16,7.4,124.3,103.3
,Vernon Carey Jr.,Cha,F-C,20.22,19,6,12.6,17.2,10.9,11,0.818,29,0.586,7,0.143,0.514,0.563,2.4,1.4,12.8,0.1,2.6,0.05,0.26,0.26,4.6,107.1,104
,Wendell Carter Jr.,Chi,C-F,22.09,32,24.7,51.5,19.2,14,111,0.739,230,0.526,22,0.364,0.528,0.578,10.9,7.8,17.4,2.2,12.3,0.56,0.75,1.53,9.3,114.8,100.9
,Wendell Carter Jr.,Orl,C-F,22.09,22,26.5,55.3,19.5,11,68,0.721,176,0.534,29,0.241,0.51,0.549,11.7,8.8,17.2,1.6,9.7,0.77,0.82,1.32,8.3,111.8,106
,Jevon Carter,Pho,G,25.67,60,11.9,24.9,15,6.6,7,0.571,72,0.528,151,0.371,0.547,0.548,4.1,1.5,7.3,1.2,13,0.48,0.15,0.27,6.5,115.1,106.7
,Michael Carter-Williams,Orl,G,29.6,31,25.8,53.7,20.2,18.4,80,0.613,209,0.431,61,0.246,0.417,0.449,8.8,4.5,9,4.1,24.1,0.81,0.55,2.23,8.5,92.3,106.7
,Alex Caruso,Lal,G,27.21,58,21,43.7,14.8,18.3,76,0.645,168,0.464,137,0.401,0.526,0.547,6.4,2.9,7.8,2.8,18.1,1.1,0.26,1.31,7.1,105.9,100.3
,Willie Cauley-Stein,Dal,C,27.75,53,17.1,35.6,12,11.8,78,0.628,171,0.667,11,0.091,0.635,0.647,5.3,4.5,14.4,0.7,5.3,0.4,0.81,0.55,6,128,99.5
,Chris Chiozza,Bro,G,25.49,22,10.6,22,20.9,14.4,17,0.765,46,0.391,42,0.31,0.426,0.461,4,1.1,5.7,3,36.9,0.32,0.27,0.73,8.9,107.2,109.6
,Marquese Chriss,Gol,F,23.87,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.9,1,11.2,0,1,1,10.4,87.7,97.5
,Brandon Clarke,Mem,F-G,24.66,59,24,50,17.3,5.7,113,0.69,418,0.565,77,0.26,0.537,0.56,10.3,5.6,12.3,1.6,9.5,1.03,0.86,0.56,7.5,118.6,107.7
,Gary Clark,Orl,F,26.5,35,18.2,37.9,10.3,11.2,10,0.8,23,0.391,108,0.287,0.424,0.439,3.4,3.2,9.1,0.9,6.4,0.34,0.2,0.49,4.7,96.9,112.9
,Gary Clark,Den,F,26.5,2,2.1,4.3,0,,0,0,0,0,0,0,,,0,0.5,13.8,0,0,0,0,0,0,,
,Gary Clark,Phi,F,26.5,2,6.4,13.3,3.4,0,0,0,1,0,0,0,0,0,0,1,8.6,0.5,9.1,0.5,0,0,0,56.9,100.4
,Jordan Clarkson,Uta,G,28.94,68,26.7,55.7,29.8,9.2,144,0.896,476,0.523,599,0.347,0.522,0.549,18.4,4,8,2.5,15.3,0.9,0.15,1.69,8.5,108.9,105.2
,Nicolas Claxton,Bro,F-C,22.08,32,18.6,38.7,14,9.4,64,0.484,140,0.636,5,0.2,0.624,0.612,6.6,5.2,15.4,0.9,6.4,0.72,1.25,0.56,6.7,123.5,102.1
,Amir Coffey,Lac,G-F,23.92,44,9,18.7,15.1,11.1,38,0.711,47,0.468,56,0.411,0.549,0.585,3.2,1,6.3,0.5,7.4,0.23,0,0.34,5.2,114.5,108
,John Collins,Atl,F-C,23.65,63,29.3,61.1,22.2,8.9,204,0.833,563,0.615,208,0.399,0.61,0.645,17.6,7.4,13.8,1.2,6.9,0.54,1,1.33,7.4,124.3,104.1
,Mike Conley,Uta,G,33.6,51,29.4,61.2,23.1,12.4,142,0.852,305,0.479,335,0.412,0.552,0.589,16.2,3.5,6.2,6,30.6,1.37,0.18,1.94,9.5,122.3,104.6
,Pat Connaughton,Mil,G,28.36,69,22.8,47.5,11.6,7.5,40,0.775,115,0.583,272,0.371,0.565,0.578,6.8,4.8,11.1,1.2,6.3,0.68,0.33,0.48,6,120.2,107.6
,Quinn Cook,Lal,G,28.15,16,3.9,8.1,21.8,9.6,5,0.8,13,0.538,13,0.385,0.558,0.585,2.1,0.3,4.5,0.3,12.5,0.06,0.06,0.19,5.9,,
,Quinn Cook,Cle,G,28.15,7,13.6,28.4,21.6,8.5,3,1,29,0.379,13,0.462,0.476,0.496,6.1,1.7,7,1.9,22.1,0.43,0,0.57,7.9,104.9,109.7
,Tyler Cook,Bro,F,23.65,4,4.2,8.6,10.5,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,6.7,0.5,14.5,0,0,0.25,4.8,88,108.1
,Tyler Cook,Det,F,23.65,28,15,31.3,14.2,15.4,35,0.486,98,0.684,2,0.5,0.685,0.667,5.5,3.4,12.4,0.5,5.6,0.29,0.07,0.75,5.6,117.2,107.8
,DeMarcus Cousins,Hou,C,30.76,25,20.2,42.2,23.1,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,20.1,2.4,18,0.84,0.72,1.56,11.1,101.7,97.7
,DeMarcus Cousins,Lac,C,30.76,16,12.9,26.9,27.8,19.3,22,0.682,76,0.566,19,0.421,0.579,0.597,7.8,4.5,19.6,1,12.4,0.81,0.38,1.56,10.2,106.1,92
